Code,CommonName,Class,Order,Family,Genus,Species,Subspecies,Species2,Extant,Native,Marine,Yellow,Blue,Red,CDCode,ABCode,Ktunaxa
ST,Steelhead,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,mykiss,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,F-ONMY,NA,NA
WST,Steelhead (Winter-run),Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,mykiss,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,F-ONMY,NA,NA
GT,Golden Trout,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,mykiss,aguabonita,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,F-ONMY,NA,NA
KO,Kokanee,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,nerka,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,F-ONNE,KOKA,NA
SK,Sockeye Salmon,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,nerka,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,F-ONNE,NA,NA
CH,Chinook Salmon,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,tshawytscha,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,F-ONTS,NA,NA
GPW,Giant Pygmy Whitefish,Actinopterygii,Salmoniformes,Salmonidae,Prosopium,coulterii,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,F-PRCO-03,NA,NA
PW,Pygmy Whitefish,Actinopterygii,Salmoniformes,Salmonidae,Prosopium,coulterii,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,F-PRCO,PGWH,NA
RW,Round Whitefish,Actinopterygii,Salmoniformes,Salmonidae,Prosopium,cyclindraceum,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,F-PRCY,RNWH,NA
MW,Mountain Whitefish,Actinopterygii,Salmoniformes,Salmonidae,Prosopium,williamsoni,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,F-PRWI,MNWH,NA
MWxRW,Mountain x Round Whitefish hybrid,Actinopterygii,Salmoniformes,Salmonidae,Prosopium,williamsoni,NA,cyclindraceum,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA
AS,Atlantic Salmon,Actinopterygii,Salmoniformes,Salmonidae,Salmo,salar,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,F-SASA,NA,NA
AGB,Brown Trout (Anadromous),Actinopterygii,Salmoniformes,Salmonidae,Salmo,trutta,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,F-SATR,BNTR,NA
GB,Brown Trout,Actinopterygii,Salmoniformes,Salmonidae,Salmo,trutta,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,F-SATR,BNTR,NA
SLV,Char (General),Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA
AC,Arctic Char,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,alpinus,NA,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
ABT,Bull Trout (Anadromous),Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,confluentus,NA,NA,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,F-SACO,BLTR,tuhu_
BT,Bull Trout,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,confluentus,NA,NA,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,F-SACO,BLTR,tuhu_
AEB,Brook Trout (Anadromous),Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,fontinalis,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,F-SAFO,BKTR,NA
EB,Brook Trout,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,fontinalis,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,F-SAFO,BKTR,NA
SPK,Splake,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,fontinalis,NA,namaycush,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
ADV,Dolly Varden (Anadromous),Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,malma,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,F-SAMA,DLVR,NA
DV,Dolly Varden,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,malma,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,F-SAMA,DLVR,NA
DVxBT,Verified DV BT hybrid,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,malma,NA,confluentus,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA
LT,Lake Trout,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,namaycush,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,F-SANA,LKTR,NA
IN,Inconnu,Actinopterygii,Salmoniformes,Salmonidae,Stenodus,leucichthys,NA,NA,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,F-STLU,NA,NA
GR,Arctic Grayling,Actinopterygii,Salmoniformes,Salmonidae,Thymallus,arcticus,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,F-THAR,ARGR,NA
MG,Montana Grayling,Actinopterygii,Salmoniformes,Salmonidae,Thymallus,arcticus,montanus,NA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA
CC,Sculpin (General),Actinopterygii,Scorpaeniformes,Cottidae,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
CCA,Sharpnose Sculpin,Actinopterygii,Scorpaeniformes,Cottidae,Clinocottus,acuticeps,NA,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,F-CLAC,NA,NA
CAL,Coastrange Sculpin (formerly Aleutian Sculpin),Actinopterygii,Scorpaeniformes,Cottidae,Cottus,aleuticus,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,F-COAL,NA,NA
CCL,Cultus Lake Sculpin,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,aleuticus,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,F-COSP-02,NA,NA
